,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
10,20765565,26 Ağustos 2022,Dacia,Lodgy,1.5 dCi Laureate,2013,146.000 km,Düz,Dizel,MPV,1461 cc,90 hp,Önden Çekiş,"4,2 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,299.950
11,20855634,26 Ağustos 2022,Opel,Astra,1.6 CDTI Design,2017,94.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",56 lt,Belirtilmemiş,Takasa Uygun,Galeriden,449.950
12,20853141,25 Ağustos 2022,Honda,City,1.4 Elite,2008,77.000 km,Otomatik,Benzin,Sedan,1339 cc,83 hp,Önden Çekiş,"5,7 lt",42 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,258.500
13,20853092,25 Ağustos 2022,Opel,Corsa,1.4 Enjoy,2003,180.000 km,Otomatik,Benzin,Hatchback/5,1389 cc,90 hp,Önden Çekiş,"7,9 lt",44 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,193.500
14,20847697,25 Ağustos 2022,Nissan,Micra,1.2 Punch,2012,115.000 km,Otomatik,Benzin,Hatchback/5,1198 cc,80 hp,Önden Çekiş,"5,4 lt",41 lt,Belirtilmemiş,Takasa Uygun,Galeriden,315.000
15,20819278,25 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2017,162.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,7 boyalı,Takasa Uygun,Galeriden,292.500
16,20819239,25 Ağustos 2022,Citroen,C1,1.0 SX Sensodrive,2011,120.000 km,Yarı Otomatik,Benzin,Hatchback/5,998 cc,69 hp,Önden Çekiş,"4,6 lt",35 lt,3 boyalı,Takasa Uygun,Galeriden,237.500
17,20847323,25 Ağustos 2022,Opel,Corsa,1.2 Enjoy,2004,155.000 km,Yarı Otomatik,Benzin,Hatchback/5,1229 cc,80 hp,Önden Çekiş,6 lt,44 lt,Belirtilmemiş,Takasa Uygun,Galeriden,215.000
18,20844329,24 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,13.500 km,Otomatik,LPG & Benzin,Sedan,1597 cc,125 hp,Önden Çekiş,"6,3 lt",46 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,685.000
19,20842960,24 Ağustos 2022,Volvo,S90,2.0 D5 Inscription,2018,145.500 km,Otomatik,Dizel,Sedan,1969 cc,235 hp,4WD (Sürekli),"4,8 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.950.000
20,20841723,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2015,151.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,"2 değişen, 9 boyalı",Takasa Uygun,Galeriden,532.500
21,20840644,24 Ağustos 2022,Renault,Megane,1.3 Tce Joy,2022,0 km,Yarı Otomatik,Benzin,Sedan,1332 cc,140 hp,Önden Çekiş,"5,3 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,660.950
22,20840609,24 Ağustos 2022,Toyota,Corolla,1.5 Flame X-Pack,2021,1.000 km,Otomatik,Benzin,Sedan,1490 cc,125 hp,Önden Çekiş,"5,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,695.950
23,20840357,24 Ağustos 2022,Seat,Leon,1.5 EcoTSI FR,2020,42.000 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,"5,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,710.950
24,20778225,24 Ağustos 2022,Volkswagen,Golf,1.5 eTSI R Line,2021,30.000 km,Yarı Otomatik,Hibrit,Hatchback/5,1498 cc,150 hp,Önden Çekiş,"5,3 lt",51 lt,Tamamı orjinal,Takasa Uygun,Galeriden,975.000
25,20840104,24 Ağustos 2022,Renault,Megane,1.5 dCi Icon,2017,71.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Tamamı orjinal,Takasa Uygun,Galeriden,575.950
26,20838020,24 Ağustos 2022,Renault,Clio,1.5 dCi Icon,2017,38.500 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,7 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,465.000
27,20505148,24 Ağustos 2022,Skoda,Octavia,1.6 TDI Elegance CR,2015,144.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,430.000
28,20835560,23 Ağustos 2022,Ford,Fiesta,1.4 TDCi Titanium,2010,163.000 km,Düz,Dizel,Hatchback/5,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"2 değişen, 7 boyalı",Takasa Uygun Değil,Sahibinden,225.000
29,20835054,23 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Attraction,2017,143.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,Belirtilmemiş,Takasa Uygun,Galeriden,284.000
30,20743438,22 Ağustos 2022,Fiat,Egea,1.4 Fire Easy Plus,2020,60.000 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,334.900
31,20827865,22 Ağustos 2022,Opel,Astra,1.3 CDTI Enjoy,2008,210.000 km,Düz,Dizel,Sedan,1248 cc,90 hp,Önden Çekiş,"5,1 lt",52 lt,Belirtilmemiş,Takasa Uygun,Galeriden,248.500
32,20826729,22 Ağustos 2022,Hyundai,Accent Era,1.5 CRDi Select,2011,210.000 km,Düz,Dizel,Sedan,1493 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,5 boyalı,Takasa Uygun Değil,Galeriden,218.000
33,20826653,22 Ağustos 2022,Mercedes - Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,2011,228.000 km,Otomatik,LPG & Benzin,Sedan,1597 cc,156 hp,Arkadan İtiş,"6,5 lt",66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,470.000
34,20826147,22 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2020,74.458 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,405.500
35,20337648,22 Ağustos 2022,Toyota,Yaris,1.4 D-4D Fun,2012,194.000 km,Yarı Otomatik,Dizel,Hatchback/5,1364 cc,90 hp,Önden Çekiş,4 lt,42 lt,1 boyalı,Takasa Uygun,Galeriden,355.000
36,20825723,22 Ağustos 2022,BMW,5 Serisi,520i Comfort Plus,2018,101.275 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,"6,5 lt",68 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.485.000
37,20824503,22 Ağustos 2022,Citroen,C3,1.2 PureTech SX Edition,2020,40.000 km,Otomatik,Benzin,Hatchback/5,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,515.000
38,20862629,27 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2018,126.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"4,2 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,627.500
39,20862917,27 Ağustos 2022,Renault,Symbol,1.5 dCi Joy,2018,99.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,315.000
40,20862572,27 Ağustos 2022,Opel,Astra,1.6 CDTI Design,2017,111.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",56 lt,Belirtilmemiş,Takasa Uygun,Galeriden,439.750
41,20862571,27 Ağustos 2022,MINI,Cooper,1.5 Pure,2020,58.000 km,Otomatik,Benzin,Hatchback/5,1499 cc,136 hp,Önden Çekiş,"5,2 lt",40 lt,Belirtilmemiş,Takasa Uygun,Galeriden,717.500
42,20394993,27 Ağustos 2022,Hyundai,Accent Era,1.4 Start,2008,82.000 km,Düz,Benzin,Sedan,1399 cc,97 hp,Önden Çekiş,"6,5 lt",45 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,226.500
43,20862913,27 Ağustos 2022,BMW,5 Serisi,520i Executive,2016,126.456 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt,4 boyalı,Takasa Uygun,Galeriden,1.025.000
44,20862784,27 Ağustos 2022,Seat,Leon,1.4 TSI FR,2012,130.800 km,Düz,Benzin,Hatchback/5,1390 cc,125 hp,Önden Çekiş,"6,2 lt",55 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,387.000
45,20736069,27 Ağustos 2022,Fiat,Egea,1.6 Multijet Urban Plus,2020,53.000 km,Düz,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,"4,2 lt",45 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,385.000
46,20862762,27 Ağustos 2022,Volvo,S60,1.6 D,2014,180.000 km,Yarı Otomatik,Dizel,Sedan,1560 cc,115 hp,Önden Çekiş,"4,1 lt",67 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,515.000
47,20862466,27 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2018,34.500 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,59 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,875.000
48,20862554,27 Ağustos 2022,Chevrolet,Aveo,1.3 D LS,2012,236.000 km,Düz,Dizel,Sedan,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,"1 değişen, 8 boyalı",Takasa Uygun Değil,Sahibinden,190.000
49,20862485,27 Ağustos 2022,Opel,Vectra,1.8 Elegance,2004,250.000 km,Düz,LPG & Benzin,Sedan,1796 cc,122 hp,Önden Çekiş,"7,9 lt",61 lt,"2 değişen, 7 boyalı",Takasa Uygun Değil,Sahibinden,200.000
50,20862509,27 Ağustos 2022,Opel,Astra,1.3 CDTI Sport,2013,179.000 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"4,1 lt",56 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,313.000
51,20443771,27 Ağustos 2022,Nissan,Micra,1.2 Match,2018,25.000 km,Otomatik,Benzin,Hatchback/5,1198 cc,80 hp,Önden Çekiş,"5,4 lt",41 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,360.000
52,13902950,27 Ağustos 2022,Nissan,Micra,1.2 Tekna,2009,100.000 km,Otomatik,Benzin,Hatchback/5,1240 cc,80 hp,Önden Çekiş,"6,6 lt",46 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,268.000
53,20074473,27 Ağustos 2022,Hyundai,i30,1.6 CRDi Elite,2013,90.000 km,Otomatik,Dizel,Hatchback/5,1582 cc,128 hp,Önden Çekiş,"5,5 lt",53 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,460.000
54,20862585,27 Ağustos 2022,Chevrolet,Cruze,1.6 LS,2010,125.000 km,Otomatik,LPG & Benzin,Sedan,1598 cc,113 hp,Önden Çekiş,"7,8 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,222.999
55,20862441,27 Ağustos 2022,Fiat,Punto,EVO 1.4 Multiair Dynamic,2010,186.000 km,Düz,Benzin,Hatchback/5,1368 cc,105 hp,Önden Çekiş,"5,7 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,247.500
56,18229133,27 Ağustos 2022,Fiat,Punto,Grande 1.4 Fire Active,2010,195.000 km,Yarı Otomatik,LPG & Benzin,Hatchback/5,1368 cc,77 hp,Önden Çekiş,"6,1 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,225.000
57,20437896,27 Ağustos 2022,Skoda,Fabia,1.2 Elegance,2013,116.000 km,Düz,LPG & Benzin,Hatchback/5,1198 cc,70 hp,Önden Çekiş,"5,5 lt",45 lt,2 değişen,Takasa Uygun,Sahibinden,290.000
58,20862486,27 Ağustos 2022,Audi,A5,A5 Sportback 2.0 TDI,2011,156.000 km,Otomatik,Dizel,Hatchback/5,1968 cc,142 hp,Önden Çekiş,"5,8 lt",64 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,715.000
59,20440255,27 Ağustos 2022,Renault,Clio,1.5 dCi Touch,2014,180.000 km,Düz,Dizel,Hatchback/5,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,285.000
60,20437774,27 Ağustos 2022,Peugeot,206,1.4 Desire,2004,218.000 km,Düz,LPG & Benzin,Hatchback/5,1360 cc,76 hp,Önden Çekiş,"6,4 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,127.500
61,20862393,27 Ağustos 2022,Opel,Insignia,1.6 CDTI Elite,2016,94.426 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,5 lt,70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,589.500
62,20862377,27 Ağustos 2022,Renault,Clio,1.5 dCi Touch,2018,92.542 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,7 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,438.500
63,20443265,27 Ağustos 2022,Volkswagen,Polo,1.2 TSi Lounge,2015,55.000 km,Yarı Otomatik,Benzin,Hatchback/5,1197 cc,90 hp,Önden Çekiş,"4,7 lt",45 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,455.000
64,20862376,27 Ağustos 2022,Renault,Clio,1.5 dCi SportTourer Touch,2018,125.242 km,Yarı Otomatik,Dizel,Station wagon,1461 cc,90 hp,Önden Çekiş,"3,7 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,424.000
65,20862374,27 Ağustos 2022,Renault,Clio,1.5 dCi SportTourer Joy,2018,128.000 km,Düz,Dizel,Station wagon,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,369.500
66,20862372,27 Ağustos 2022,Renault,Clio,1.5 dCi Icon,2016,67.500 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,7 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,429.000
67,20862357,27 Ağustos 2022,Renault,Fluence,1.5 dCi Touch,2014,167.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"4,5 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,317.500
68,20862356,27 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2017,118.365 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun,Galeriden,479.500
69,20862355,27 Ağustos 2022,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2017,89.000 km,Yarı Otomatik,Benzin,Sedan,1395 cc,125 hp,Önden Çekiş,5 lt,55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,549.500
70,20862353,27 Ağustos 2022,Renault,Megane,1.5 Blue DCI Icon,2020,26.500 km,Yarı Otomatik,Dizel,Sedan,1461 cc,115 hp,Önden Çekiş,"4,2 lt",49 lt,Belirtilmemiş,Takasa Uygun,Galeriden,689.000
71,20862336,27 Ağustos 2022,Fiat,Egea,1.3 Multijet Urban Plus,2020,20.386 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"3,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,467.500
72,20862328,27 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2017,118.450 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,677.500
73,20862327,27 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2017,112.900 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,749.500
74,20862326,27 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015,89.085 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,726.000
75,20862324,27 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2018,130.353 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun,Galeriden,484.500
76,20862321,27 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2016,121.800 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,306.500
77,20862317,27 Ağustos 2022,Fiat,Punto,Grande 1.3 Multijet Emotion,2006,211.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,"4,6 lt",45 lt,2 değişen,Takasa Uygun Değil,Sahibinden,225.000
78,20443236,27 Ağustos 2022,Toyota,Auris,1.6 Advance Skypack,2016,15.200 km,Otomatik,Benzin,Hatchback/5,1598 cc,132 hp,Önden Çekiş,"6,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,571.000
79,17541229,27 Ağustos 2022,Volkswagen,Polo,1.2 TSi Comfortline,2015,103.500 km,Düz,Benzin,Hatchback/5,1197 cc,90 hp,Önden Çekiş,"4,7 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,349.900
80,20862330,27 Ağustos 2022,Toyota,Corolla,1.3 XE,1998,80.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,0 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,201.500
81,20861593,27 Ağustos 2022,Hyundai,i20 Active,1.4 MPi Elite Smart,2019,23.000 km,Otomatik,Benzin,Hatchback/5,1368 cc,100 hp,Önden Çekiş,"6,7 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,495.000
82,20705393,27 Ağustos 2022,Dacia,Sandero,0.9 TCe Stepway Easy-R,2019,12.000 km,Yarı Otomatik,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,"5,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,425.000
83,20862271,27 Ağustos 2022,Citroen,C3,1.2 PureTech Shine,2020,10.500 km,Düz,Benzin,Hatchback/5,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,420.000
84,20862258,27 Ağustos 2022,Ford,Fiesta,1.5 TDCi Trend,2014,100.000 km,Düz,Dizel,Hatchback/5,1498 cc,75 hp,Önden Çekiş,"3,7 lt",42 lt,"2 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,345.000
85,20436987,27 Ağustos 2022,Ford,Fiesta,1.25 Trend X,2014,160.000 km,Düz,LPG & Benzin,Hatchback/5,1242 cc,82 hp,Önden Çekiş,"5,2 lt",42 lt,3 değişen,Takasa Uygun Değil,Sahibinden,234.500
86,20862079,27 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Exclusive,2012,296.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,385.000
87,20442070,27 Ağustos 2022,Citroen,C5,3.0 Exclusive,2003,200.000 km,Otomatik,LPG & Benzin,Sedan,2946 cc,210 hp,Önden Çekiş,"10,2 lt",68 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,140.000
88,20443921,27 Ağustos 2022,Renault,Symbol,1.5 dCi Expression,2009,248.000 km,Düz,Dizel,Sedan,1461 cc,85 hp,Önden Çekiş,"4,3 lt",50 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,155.000
89,20440823,27 Ağustos 2022,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2016,51.000 km,Yarı Otomatik,Benzin,Sedan,1395 cc,125 hp,Önden Çekiş,5 lt,55 lt,1 boyalı,Takasa Uygun,Sahibinden,572.000
90,20440044,27 Ağustos 2022,Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,2015,211.000 km,Yarı Otomatik,Dizel,Sedan,1968 cc,150 hp,Önden Çekiş,"4,4 lt",66 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,735.000
91,20435496,27 Ağustos 2022,Ford,Focus,1.6 TDCi Collection,2007,201.000 km,Düz,Dizel,Hatchback/5,1560 cc,110 hp,Önden Çekiş,"4,8 lt",55 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,230.000
92,20862195,27 Ağustos 2022,Skoda,Fabia,1.4 Special,2005,166.000 km,Düz,LPG & Benzin,Station wagon,1390 cc,100 hp,Önden Çekiş,"7,1 lt",45 lt,9 boyalı,Takasa Uygun Değil,Sahibinden,195.000
93,20862178,27 Ağustos 2022,Mercedes - Benz,E,250 CDI BlueEFFICIENCY Elegance,2013,160.000 km,Otomatik,Dizel,Coupe,2143 cc,204 hp,Arkadan İtiş,"5,8 lt",59 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,1.800.000
94,20862219,27 Ağustos 2022,Ford,Fiesta,1.4 Titanium,2011,170.000 km,Düz,LPG & Benzin,Hatchback/5,1388 cc,96 hp,Önden Çekiş,"5,7 lt",42 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,233.000
95,20862167,27 Ağustos 2022,Renault,Clio,1.5 dCi Touch,2018,132.000 km,Düz,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,6 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,329.900
96,20858645,27 Ağustos 2022,Fiat,Egea,1.4 Fire Easy,2021,17.000 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"6,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,465.000
97,20862200,27 Ağustos 2022,Volkswagen,Polo,1.4 Sportline,1997,298.750 km,Düz,LPG & Benzin,Hatchback/3,1390 cc,101 hp,Önden Çekiş,"6,9 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,118.750
98,20862207,27 Ağustos 2022,Citroen,C4,1.6 e-HDi Confort,2014,143.000 km,Yarı Otomatik,Dizel,Hatchback/5,1560 cc,114 hp,Önden Çekiş,"4,2 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,329.900
99,20862155,27 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2018,141.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,299.750
100,20166581,27 Ağustos 2022,Volkswagen,Passat,1.8 Comfortline,1997,313.800 km,Otomatik,LPG & Benzin,Sedan,1781 cc,125 hp,Önden Çekiş,9 lt,62 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,175.000
101,20862106,27 Ağustos 2022,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2017,83.000 km,Yarı Otomatik,Benzin,Sedan,1395 cc,125 hp,Önden Çekiş,5 lt,66 lt,Tamamı orjinal,Takasa Uygun,Galeriden,668.750
102,20862035,27 Ağustos 2022,Volkswagen,Passat,1.4 TSi Comfortline,2011,115.000 km,Otomatik,Benzin,Sedan,1390 cc,122 hp,Önden Çekiş,"6,6 lt",70 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,395.000
103,19450542,27 Ağustos 2022,Fiat,Egea,1.3 Multijet Urban Plus,2020,106.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,6 boyalı,Takasa Uygun Değil,Sahibinden,389.500
104,20862055,27 Ağustos 2022,BMW,4 Serisi,418i M Sport,2016,84.000 km,Otomatik,Benzin,Coupe,1499 cc,136 hp,Arkadan İtiş,"5,3 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1.210.000
